cluster_name	z_score	gene
0	ATP8B4	48.46821594238281
0	VIM	31.886343002319336
0	GAPDH	28.79912757873535
0	EEF1G	27.57541847229004
0	ETV6	26.610204696655273
0	RHEX	26.263652801513672
0	WDR49	25.846513748168945
0	MSRB3	25.41368293762207
0	CACNB2	25.221813201904297
0	SERPINB1	24.892797470092773
0	EEF2	24.235506057739258
0	ELMO1	24.000654220581055
0	RACK1	23.884357452392578
0	ANKRD28	23.722286224365234
0	SELL	23.683244705200195
0	CDK6	23.208148956298828
0	EEF1A1	23.079360961914062
0	MAMDC2	22.90599250793457
0	SSBP2	22.470272064208984
0	CSF3R	22.445911407470703
0	ANXA1	22.14931869506836
0	PRSS57	21.883832931518555
0	NAP1L1	21.855377197265625
0	MBNL1	21.626869201660156
0	NRIP1	21.292905807495117
0	CALN1	21.219070434570312
0	SEPTIN11	21.042911529541016
0	ERG	20.803245544433594
0	HINT1	20.576244354248047
0	ENO1	20.392353057861328
0	TAGLN2	20.203590393066406
0	PLCB1	19.92405891418457
0	SCN9A	19.80866241455078
0	HSP90AB1	19.770832061767578
0	CCDC171	19.654401779174805
0	AJ009632.2	19.639293670654297
0	TKT	19.453319549560547
0	CD99	19.352996826171875
0	NOP53	19.271642684936523
0	PABPC1	19.256364822387695
0	ARHGDIB	19.22087287902832
0	ANGPT1	19.07073974609375
0	PROM1	18.989715576171875
0	ANTXR2	18.945579528808594
0	NUCB2	18.907466888427734
0	VAMP8	18.715044021606445
0	MBOAT7	18.637165069580078
0	CASC15	18.62123680114746
0	CAMK1D	18.516223907470703
0	CRHBP	18.161928176879883
0	TSPAN2	18.13595962524414
1	AL589693.1	93.1205825805664
1	AFF3	53.54019546508789
1	IGHM	50.40616226196289
1	RERE	49.29011154174805
1	MEF2C	47.364227294921875
1	FAM30A	47.353309631347656
1	OSBPL3	45.49699020385742
1	RUNX2	45.0413818359375
1	DOCK1	42.81163024902344
1	MME	42.14201736450195
1	TCF4	41.78529357910156
1	COBLL1	41.56013870239258
1	CLNK	41.20877456665039
1	IFNG-AS1	41.1286506652832
1	MEF2A	39.927345275878906
1	SCN3A	39.89429473876953
1	CNTNAP2	37.97319412231445
1	AUTS2	37.725730895996094
1	PRKCB	37.112064361572266
1	MED13L	37.032508850097656
1	AFF1	35.47799301147461
1	SLC2A5	35.17158126831055
1	ARHGAP25	34.93211364746094
1	NEGR1	34.33993911743164
1	SPON1	33.91080093383789
1	LTB	33.44289779663086
1	SYK	33.32612991333008
1	ADAM28	32.1150016784668
1	CYFIP2	31.659318923950195
1	ANKRD44	31.478696823120117
1	LNCAROD	31.377710342407227
1	CD74	31.170612335205078
1	SETBP1	30.465682983398438
1	SEMA3C	30.107425689697266
1	HIVEP3	29.397592544555664
1	LSAMP	28.436826705932617
1	CARD11	27.980072021484375
1	BCL11A	27.772905349731445
1	ERMP1	27.649078369140625
1	SYN3	27.535991668701172
1	AL096799.1	27.478240966796875
1	RAB31	27.2851619720459
1	LPIN1	27.275259017944336
1	HOXA9	27.204404830932617
1	ST3GAL1	27.121337890625
1	TSC22D1	27.06552505493164
1	KCNK17	26.924530029296875
1	RBPMS	26.664981842041016
1	SPINK2	26.619810104370117
1	SDK2	26.483577728271484
1	PPP1R16B	25.58475112915039
2	SSBP2	49.19157028198242
2	LRBA	37.86705780029297
2	CHST11	33.06525421142578
2	ETV6	32.120460510253906
2	PLCB1	31.393291473388672
2	ELMO1	29.981576919555664
2	MSRB3	29.6580753326416
2	ATP2C1	28.127824783325195
2	TRPS1	27.395084381103516
2	ERG	26.059309005737305
2	ANKRD28	25.593782424926758
2	CASC15	25.45862579345703
2	FNIP1	25.196592330932617
2	MTRNR2L12	25.194515228271484
2	PAN3	24.97620964050293
2	CD109	24.587268829345703
2	CALN1	24.509971618652344
2	CDK6	24.126482009887695
2	TAFA2	24.073497772216797
2	RB1CC1	23.987918853759766
2	RUNX1	23.85866928100586
2	MCTP2	23.611419677734375
2	IQGAP2	23.1766357421875
2	INPP4B	23.073652267456055
2	ATP8B4	22.704944610595703
2	LRMDA	22.672245025634766
2	TCF12	22.565723419189453
2	PTPRC	22.441747665405273
2	CHRM3	22.375185012817383
2	TFPI	22.30061912536621
2	MAPK14	22.148757934570312
2	MSI2	22.107648849487305
2	TRIM24	21.9378719329834
2	CELF2	21.92055892944336
2	TBL1XR1	21.829713821411133
2	ARID1B	21.68393898010254
2	SPTBN1	21.240842819213867
2	PROM1	21.186723709106445
2	CAMK1D	20.9931697845459
2	PRKCH	20.940168380737305
2	CCDC171	20.846323013305664
2	CDK14	20.742223739624023
2	MED12L	20.60862159729004
2	AKT3	20.601839065551758
2	DENND5A	20.598583221435547
2	ZNRF1	19.98960304260254
2	PTBP2	19.754182815551758
2	TAOK3	19.60811996459961
2	DPYD	19.072778701782227
2	DENND4A	18.899869918823242
2	TPM4	18.87140464782715
3	ZNF385D	49.376399993896484
3	STXBP5	39.49823760986328
3	XACT	38.70702362060547
3	SLC40A1	38.381595611572266
3	NLK	34.87620162963867
3	ABCC4	34.69194793701172
3	GP1BB	34.498409271240234
3	SERPINB1	34.40898513793945
3	MED12L	34.187286376953125
3	GNAQ	33.85519027709961
3	CTNNBL1	33.579856872558594
3	HNRNPA1	33.04943084716797
3	PDZD8	32.007102966308594
3	PLXDC2	31.537200927734375
3	ZEB2	31.484607696533203
3	KIAA1211	30.43776512145996
3	RNF130	30.041704177856445
3	EEF1G	29.99125099182129
3	ZMYND8	29.630319595336914
3	BMP2K	29.04579734802246
3	ARL15	28.64230728149414
3	MINPP1	28.259199142456055
3	HSP90AB1	27.884492874145508
3	GATA2	26.818105697631836
3	ST8SIA6	26.453628540039062
3	ZBTB16	26.425432205200195
3	DEPTOR	25.695331573486328
3	LDHB	25.1641845703125
3	PLEK	24.473108291625977
3	ZNF804A	24.144813537597656
3	CYTL1	23.694355010986328
3	TLN1	23.292076110839844
3	FREM1	23.07988929748535
3	DNAJC6	22.993539810180664
3	CPA3	22.97510528564453
3	HMGB1	22.790809631347656
3	H3F3A	22.648225784301758
3	PBX1	22.617551803588867
3	CDK6	22.466569900512695
3	AL157895.1	22.409395217895508
3	FCER1A	22.27063751220703
3	MIR181A1HG	21.447919845581055
3	EEF1A1	21.338489532470703
3	CAT	21.17405128479004
3	NPM1	21.12005043029785
3	SRGN	21.103254318237305
3	SLC25A6	21.011611938476562
3	TESPA1	20.856889724731445
3	ATP6V0A2	20.758163452148438
3	GIHCG	20.23769187927246
3	CSF2RB	20.184200286865234
4	ATP8B4	24.94977378845215
4	RACK1	15.069889068603516
4	ELMO1	13.344670295715332
4	HINT1	12.969467163085938
4	SPINK2	12.818238258361816
4	EEF1G	12.72296142578125
4	VIM	12.126702308654785
4	SELL	11.808592796325684
4	TPT1	11.49624252319336
4	LINC02160	11.487719535827637
4	EEF1A1	11.432863235473633
4	GAS5	11.380897521972656
4	NRIP1	11.299365043640137
4	EEF1B2	11.26213264465332
4	ZFAS1	11.259791374206543
4	ANKRD28	11.061814308166504
4	GAPDH	11.054670333862305
4	PRDX1	10.077880859375
4	NACA	10.041524887084961
4	AVP	10.033852577209473
4	SSBP2	9.782370567321777
4	NOP53	9.7269926071167
4	SNHG32	9.694551467895508
4	AJ009632.2	9.564433097839355
4	ADGRG6	9.463272094726562
4	GPC5	9.451948165893555
4	NKAIN2	9.12368392944336
4	ANGPT1	8.904592514038086
4	TAGLN2	8.584444999694824
4	WDR49	8.515828132629395
4	PRSS57	8.424575805664062
4	LGALS1	8.40174388885498
4	VAMP8	8.352289199829102
4	NPR3	8.312684059143066
4	MDK	8.27235221862793
4	CALN1	8.260636329650879
4	C1QTNF4	8.227446556091309
4	C5orf17	8.153952598571777
4	RHEX	8.055330276489258
4	NME2	8.017882347106934
4	ANXA1	7.988725185394287
4	ZFP36L2	7.902254581451416
4	CRHBP	7.8772759437561035
4	HSPB1	7.550796985626221
4	CACNB2	7.408416748046875
4	BEX1	7.3400559425354
4	CSF3R	7.296591758728027
4	EEF1D	7.289738178253174
4	BST2	7.244661331176758
4	SYT1	7.191132545471191
4	GUCY1A1	7.072134494781494
5	MALAT1	18.41985321044922
5	ACTB	15.804030418395996
5	B2M	7.976621627807617
5	CD247	6.877164363861084
5	CHKB	6.837678909301758
5	IL32	6.64867639541626
5	BCL11B	5.830453395843506
5	CAMK4	5.502570152282715
5	DAZAP2	5.299749851226807
5	GNLY	5.28231143951416
5	S100A4	5.273143291473389
5	IL7R	5.11914587020874
5	VAMP2	4.944047927856445
5	PCED1B-AS1	4.819487571716309
5	PFN1	4.800243854522705
5	TRBC2	4.759888172149658
5	PDE3B	4.729159355163574
5	IGKC	4.651716709136963
5	ITK	4.51251745223999
5	KLF2	4.471123695373535
5	CSF2RB	4.449045181274414
5	TRBC1	4.0897216796875
5	LEF1	4.0319695472717285
5	NELL2	3.946913719177246
5	TPSAB1	3.8645663261413574
5	CCL5	3.7024223804473877
5	PRF1	3.663689374923706
5	LINC02256	3.555316686630249
5	TRAC	3.4715094566345215
5	MHENCR	3.3744266033172607
5	HNRNPL	3.3610219955444336
5	C1orf56	3.343181610107422
5	TCF7	3.308347702026367
5	PRKCA	3.267286539077759
5	NRROS	3.243034601211548
5	FCN1	3.23728346824646
5	GPM6A	3.2059054374694824
5	SNHG29	3.2040812969207764
5	CD3E	3.20257830619812
5	CD96	3.1993160247802734
5	MARCH9	3.1463019847869873
5	CST7	3.142976760864258
5	S100A10	3.0821120738983154
5	ARF5	3.041351079940796
5	SYNE2	3.02779483795166
5	DOK2	3.003669261932373
5	PYHIN1	2.955913782119751
5	GZMM	2.9376094341278076
5	THEMIS	2.923413038253784
5	RASSF1	2.9193077087402344
5	AC119396.1	2.8635613918304443
6	H3F3B	38.4571647644043
6	PLCG2	29.97389030456543
6	JUN	19.910051345825195
6	H1FX	18.688512802124023
6	MALAT1	18.40715789794922
6	AC103591.3	16.249361038208008
6	HSPA5	14.705903053283691
6	SOX4	12.698445320129395
6	HIST1H2BG	12.450096130371094
6	HIST1H1C	11.45785140991211
