cluster_name	z_score	gene
0	ELMO1	34.9403190612793
0	CDK6	31.90667152404785
0	PLXDC2	29.658790588378906
0	ETV6	29.101016998291016
0	ANKRD28	28.532888412475586
0	CASC15	28.36288833618164
0	ZNF385D	28.100234985351562
0	MED12L	27.806488037109375
0	MSI2	24.634700775146484
0	TAFA2	23.827533721923828
0	ZBTB20	23.67071533203125
0	SSBP2	22.745168685913086
0	LRBA	22.462987899780273
0	ERG	22.16977882385254
0	ATP2C1	21.888708114624023
0	EIF4G3	20.6955509185791
0	RUNX1	20.61400604248047
0	ANGPT1	20.54132080078125
0	INPP4B	19.845441818237305
0	STXBP5	19.792512893676758
0	RAPGEF2	19.02899169921875
0	ZNF804A	19.005531311035156
0	KIAA1211	18.746658325195312
0	MIR181A1HG	18.672813415527344
0	CHST11	18.450502395629883
0	CCDC171	18.403541564941406
0	LRMDA	18.067386627197266
0	SESN3	17.64094352722168
0	PRKG1	17.59307289123535
0	ITGA9	17.50444984436035
0	ARHGAP15	17.366943359375
0	GNAQ	17.079509735107422
0	ZNF521	17.03996467590332
0	ZBTB16	16.80754280090332
0	MCTP2	16.62610626220703
0	RNF130	16.454097747802734
0	PBX1	16.288293838500977
0	MSRB3	16.00264549255371
0	PRKACB	15.90943431854248
0	FTX	15.892008781433105
0	ARID1B	15.837532043457031
0	MEIS1	15.725484848022461
0	DENND4A	15.721986770629883
0	RFX3	15.496216773986816
0	TAOK3	15.170900344848633
0	FOXN3	15.098148345947266
0	CHRM3	14.995757102966309
0	CAMK1D	14.90803050994873
0	SLC39A8	14.840417861938477
0	IQGAP2	14.725520133972168
0	MT-ND2	14.698713302612305
1	AL589693.1	63.84651184082031
1	RERE	39.76966857910156
1	AFF3	37.9294548034668
1	OSBPL3	35.78093338012695
1	MEF2C	35.4078254699707
1	DOCK1	34.290985107421875
1	MEF2A	33.88919448852539
1	IGHM	33.373817443847656
1	FAM30A	33.174034118652344
1	MED13L	33.024208068847656
1	AUTS2	30.917367935180664
1	MME	30.40130615234375
1	COBLL1	30.248655319213867
1	TCF4	30.17952537536621
1	RUNX2	29.63446617126465
1	ARHGAP25	28.127952575683594
1	CLNK	27.331668853759766
1	NEGR1	27.11112403869629
1	SLC2A5	27.094017028808594
1	SCN3A	26.929208755493164
1	IFNG-AS1	26.669057846069336
1	PRKCB	26.663070678710938
1	SYK	26.300670623779297
1	AFF1	25.144794464111328
1	SPON1	24.658695220947266
1	CYFIP2	24.53860855102539
1	ADAM28	24.259746551513672
1	LNCAROD	23.67205238342285
1	CNTNAP2	23.568267822265625
1	CD74	23.281518936157227
1	ERMP1	22.882831573486328
1	SETBP1	22.808923721313477
1	ANKRD44	22.49496841430664
1	SEMA3C	22.47454071044922
1	HIVEP3	22.435352325439453
1	RBPMS	22.422149658203125
1	ST3GAL1	22.40569496154785
1	BCL11A	22.237428665161133
1	BAALC	21.16671371459961
1	RAB31	20.555450439453125
1	TRPS1	20.37394142150879
1	LTB	20.354015350341797
1	ITPR1	19.905912399291992
1	STARD9	19.884788513183594
1	LPIN1	19.805694580078125
1	LSAMP	19.678394317626953
1	TSC22D1	19.407066345214844
1	SDK2	19.393518447875977
1	STK32B	19.380544662475586
1	PLCB1	19.367897033691406
1	S100Z	19.310230255126953
2	EEF1A1	27.801435470581055
2	RPS4X	25.15667724609375
2	RPS2	23.944414138793945
2	RPL13	23.67767333984375
2	RPS23	23.646392822265625
2	RPS3A	23.303102493286133
2	RPL3	23.19378662109375
2	RPL10A	21.92753028869629
2	SSBP2	21.679906845092773
2	ETV6	21.584426879882812
2	RPS24	21.301258087158203
2	RPLP0	21.19229507446289
2	EEF1G	20.794885635375977
2	RPS6	20.582075119018555
2	RPL37	20.578006744384766
2	RPS3	20.551488876342773
2	RPS8	20.34671401977539
2	RPL36A	20.33155059814453
2	RPS18	20.241592407226562
2	RACK1	20.208011627197266
2	RPL9	19.817087173461914
2	RPL18A	19.418594360351562
2	RPL5	19.40843391418457
2	RPS19	19.33129119873047
2	EEF2	19.30228614807129
2	RPL13A	19.249582290649414
2	MSRB3	19.222694396972656
2	RPL7A	19.062440872192383
2	LRBA	18.82868003845215
2	RPS9	18.625274658203125
2	RPL12	18.47833824157715
2	ATP2C1	18.288179397583008
2	RPSA	18.15708351135254
2	RPS29	18.076250076293945
2	RPL14	18.076026916503906
2	RPL23	17.98845100402832
